product_id,product_name,category,price,stock_quantity,status
1,Product_1,Electronics,89.39,390,active
2,Product_2,Health,114.11,357,active
3,Product_3,Health,181.64,311,active
4,Product_4,Food,175.1,319,inactive
5,Product_5,Food,56.97,435,active
6,Product_6,Clothing,115.87,49,active
7,Product_7,Health,42.97,198,inactive
8,Product_8,Books,116.19,25,active
9,Product_9,Books,282.85,429,active
10,Product_10,Sports,86.2,39,active
11,Product_11,Electronics,32.76,318,inactive
12,Product_12,Toys,102.4,340,inactive
13,Product_13,Books,42.27,41,inactive
14,Product_14,Electronics,263.53,137,inactive
15,Product_15,Books,203.2,36,active
16,Product_16,Sports,151.0,398,inactive
17,Product_17,Food,17.2,494,inactive
18,Product_18,Clothing,110.64,330,active
19,Product_19,Books,174.35,157,active
20,Product_20,Food,135.7,19,active
21,Product_21,Electronics,36.2,405,active
22,Product_22,Books,221.7,395,inactive
23,Product_23,Clothing,216.59,255,inactive
24,Product_24,Health,253.88,438,inactive
25,Product_25,Clothing,215.14,47,active
26,Product_26,Food,62.22,478,inactive
27,Product_27,Sports,180.3,209,inactive
28,Product_28,Food,107.36,95,active
29,Product_29,Home,213.33,494,active
30,Product_30,Home,287.84,113,inactive
31,Product_31,Home,234.09,196,inactive
32,Product_32,Home,22.9,256,active
33,Product_33,Clothing,13.03,279,active
34,Product_34,Toys,82.73,66,inactive
35,Product_35,Food,50.61,3,active
36,Product_36,Home,41.73,318,inactive
37,Product_37,Home,116.13,54,active
38,Product_38,Books,115.96,168,inactive
39,Product_39,Sports,163.77,276,active
40,Product_40,Home,63.91,22,active
41,Product_41,Sports,146.26,479,inactive
42,Product_42,Clothing,147.11,173,active
43,Product_43,Toys,70.87,373,active
44,Product_44,Health,291.25,76,inactive
45,Product_45,Health,93.21,246,inactive
46,Product_46,Sports,274.1,385,inactive
47,Product_47,Food,218.51,265,active
48,Product_48,Home,186.1,358,active
49,Product_49,Electronics,195.67,409,active
50,Product_50,Home,60.45,101,active
51,Product_51,Sports,55.11,236,inactive
52,Product_52,Sports,23.93,234,inactive
53,Product_53,Sports,152.11,58,inactive
54,Product_54,Toys,103.17,51,inactive
55,Product_55,Health,101.32,428,active
56,Product_56,Home,238.42,93,inactive
57,Product_57,Sports,298.47,122,inactive
58,Product_58,Electronics,284.78,155,active
59,Product_59,Books,67.99,91,active
60,Product_60,Sports,272.19,198,active
61,Product_61,Sports,250.74,54,inactive
62,Product_62,Books,35.51,223,inactive
63,Product_63,Sports,33.22,292,inactive
64,Product_64,Electronics,115.93,224,inactive
65,Product_65,Health,165.09,488,active
66,Product_66,Electronics,204.22,249,inactive
67,Product_67,Clothing,89.73,341,active
68,Product_68,Health,211.2,348,inactive
69,Product_69,Health,48.47,95,inactive
70,Product_70,Electronics,29.28,169,active
71,Product_71,Clothing,267.89,427,inactive
72,Product_72,Books,11.63,182,active
73,Product_73,Toys,257.23,212,inactive
74,Product_74,Electronics,8.38,357,active
75,Product_75,Home,268.8,475,active
76,Product_76,Home,77.15,396,inactive
77,Product_77,Electronics,268.68,50,inactive
78,Product_78,Electronics,26.31,447,active
79,Product_79,Sports,87.07,311,active
80,Product_80,Books,189.42,164,inactive
81,Product_81,Food,284.35,361,inactive
82,Product_82,Toys,140.55,302,active
83,Product_83,Health,133.86,426,inactive
84,Product_84,Electronics,159.12,419,active
85,Product_85,Health,14.6,296,active
86,Product_86,Clothing,27.27,39,inactive
87,Product_87,Clothing,41.26,322,inactive
88,Product_88,Food,73.2,390,active
89,Product_89,Home,97.37,52,inactive
90,Product_90,Clothing,43.15,467,active
91,Product_91,Clothing,261.45,19,active
92,Product_92,Home,222.0,52,inactive
93,Product_93,Electronics,110.39,453,inactive
94,Product_94,Toys,88.47,217,active
95,Product_95,Health,218.35,45,active
96,Product_96,Electronics,22.37,218,inactive
97,Product_97,Sports,254.14,275,inactive
98,Product_98,Electronics,110.15,157,active
99,Product_99,Clothing,282.1,203,inactive
100,Product_100,Sports,227.58,41,inactive
101,Product_101,Electronics,239.07,110,active
102,Product_102,Food,102.53,291,inactive
103,Product_103,Sports,277.07,253,inactive
104,Product_104,Books,269.27,227,inactive
105,Product_105,Food,146.27,113,inactive
106,Product_106,Sports,150.84,208,active
107,Product_107,Toys,99.51,55,inactive
108,Product_108,Health,221.05,397,inactive
109,Product_109,Food,258.29,18,active
110,Product_110,Electronics,54.84,97,inactive
111,Product_111,Toys,50.76,306,inactive
112,Product_112,Food,175.9,138,active
113,Product_113,Toys,94.46,370,active
114,Product_114,Books,22.88,364,active
115,Product_115,Clothing,138.47,381,inactive
116,Product_116,Sports,48.6,117,active
117,Product_117,Clothing,83.52,88,inactive
118,Product_118,Electronics,280.46,47,inactive
119,Product_119,Sports,165.55,358,active
120,Product_120,Toys,227.31,35,inactive
121,Product_121,Health,203.91,420,active
122,Product_122,Health,179.43,387,active
123,Product_123,Books,42.64,212,inactive
124,Product_124,Toys,85.14,202,active
125,Product_125,Health,180.29,353,inactive
126,Product_126,Toys,252.08,357,active
127,Product_127,Books,246.79,459,active
128,Product_128,Toys,32.25,279,inactive
129,Product_129,Electronics,117.51,471,inactive
130,Product_130,Books,76.32,219,inactive
131,Product_131,Toys,72.51,122,inactive
132,Product_132,Home,148.88,42,inactive
133,Product_133,Toys,280.98,449,inactive
134,Product_134,Toys,41.6,20,active
135,Product_135,Sports,296.98,108,inactive
136,Product_136,Electronics,120.12,436,active
137,Product_137,Toys,274.43,29,active
138,Product_138,Health,122.75,63,active
139,Product_139,Books,284.89,474,inactive
140,Product_140,Toys,29.19,269,active
141,Product_141,Clothing,240.98,413,active
142,Product_142,Health,33.38,116,inactive
143,Product_143,Health,188.92,429,inactive
144,Product_144,Toys,286.61,47,inactive
145,Product_145,Sports,76.14,465,inactive
146,Product_146,Food,143.4,450,active
147,Product_147,Electronics,66.27,196,inactive
148,Product_148,Home,131.78,410,active
149,Product_149,Clothing,269.16,476,active
150,Product_150,Electronics,139.06,334,active
151,Product_151,Toys,124.34,87,inactive
152,Product_152,Food,57.08,279,active
153,Product_153,Clothing,139.23,330,active
154,Product_154,Food,7.14,363,inactive
155,Product_155,Health,84.66,411,inactive
156,Product_156,Home,80.3,463,inactive
157,Product_157,Toys,218.95,271,inactive
158,Product_158,Clothing,104.64,454,inactive
159,Product_159,Toys,193.64,190,inactive
160,Product_160,Health,154.43,427,active
161,Product_161,Books,205.99,282,inactive
162,Product_162,Electronics,12.24,155,active
163,Product_163,Books,157.14,192,active
164,Product_164,Food,139.45,490,active
165,Product_165,Books,274.08,225,active
166,Product_166,Clothing,56.91,285,inactive
167,Product_167,Clothing,285.46,90,inactive
168,Product_168,Sports,203.17,250,inactive
169,Product_169,Electronics,138.95,16,inactive
170,Product_170,Clothing,248.38,0,inactive
171,Product_171,Clothing,288.45,353,active
172,Product_172,Sports,176.81,339,inactive
173,Product_173,Food,281.79,496,active
174,Product_174,Electronics,41.06,110,inactive
175,Product_175,Health,62.7,135,inactive
176,Product_176,Electronics,87.46,253,active
177,Product_177,Home,242.99,312,active
178,Product_178,Sports,121.99,192,inactive
179,Product_179,Electronics,259.36,485,inactive
180,Product_180,Sports,131.47,330,active
181,Product_181,Electronics,141.97,161,active
182,Product_182,Home,124.28,426,active
183,Product_183,Books,224.95,340,inactive
184,Product_184,Food,67.22,12,active
185,Product_185,Clothing,245.61,59,inactive
186,Product_186,Electronics,179.92,234,inactive
187,Product_187,Books,222.21,117,inactive
188,Product_188,Clothing,116.34,22,inactive
189,Product_189,Food,233.78,116,active
190,Product_190,Sports,196.72,120,inactive
191,Product_191,Electronics,8.28,240,active
192,Product_192,Electronics,102.89,298,active
193,Product_193,Health,97.99,298,active
194,Product_194,Electronics,152.79,363,active
195,Product_195,Food,216.62,154,active
196,Product_196,Sports,245.31,114,inactive
197,Product_197,Toys,146.7,222,active
198,Product_198,Electronics,217.43,5,active
199,Product_199,Health,134.4,256,inactive
200,Product_200,Food,132.24,210,inactive
201,Product_201,Electronics,155.52,429,active
202,Product_202,Food,174.9,456,active
203,Product_203,Clothing,5.21,154,inactive
204,Product_204,Toys,190.27,112,active
205,Product_205,Clothing,154.87,390,inactive
206,Product_206,Toys,264.27,348,active
207,Product_207,Electronics,269.77,248,inactive
208,Product_208,Food,53.39,493,active
209,Product_209,Toys,252.34,24,active
210,Product_210,Clothing,47.02,187,active
211,Product_211,Clothing,279.37,429,inactive
212,Product_212,Home,215.91,490,active
213,Product_213,Clothing,252.17,443,inactive
214,Product_214,Home,289.56,148,active
215,Product_215,Toys,207.54,139,active
216,Product_216,Food,116.96,3,active
217,Product_217,Clothing,134.56,62,active
218,Product_218,Electronics,140.27,46,active
219,Product_219,Clothing,12.98,280,inactive
220,Product_220,Books,20.8,330,active
221,Product_221,Sports,157.84,166,active
222,Product_222,Clothing,127.58,126,inactive
223,Product_223,Books,190.28,340,active
224,Product_224,Food,116.17,428,inactive
225,Product_225,Sports,143.01,303,active
226,Product_226,Food,86.43,322,inactive
227,Product_227,Food,279.48,152,active
228,Product_228,Clothing,42.77,245,inactive
229,Product_229,Electronics,37.33,153,inactive
230,Product_230,Electronics,139.03,300,active
231,Product_231,Health,113.35,169,inactive
232,Product_232,Home,243.47,80,inactive
233,Product_233,Electronics,101.51,351,inactive
234,Product_234,Electronics,278.56,299,active
235,Product_235,Electronics,174.54,429,inactive
236,Product_236,Toys,150.41,336,active
237,Product_237,Food,31.19,109,active
238,Product_238,Clothing,184.12,31,active
239,Product_239,Health,5.15,214,active
240,Product_240,Electronics,87.35,426,active
241,Product_241,Sports,98.29,458,active
242,Product_242,Home,15.98,141,active
243,Product_243,Sports,201.03,150,active
244,Product_244,Food,252.77,153,inactive
245,Product_245,Toys,129.77,75,inactive
246,Product_246,Health,175.73,173,inactive
247,Product_247,Clothing,253.95,311,inactive
248,Product_248,Books,102.86,373,inactive
249,Product_249,Sports,14.94,122,active
250,Product_250,Books,230.23,452,inactive
251,Product_251,Health,278.25,262,inactive
252,Product_252,Clothing,287.35,210,active
253,Product_253,Clothing,36.06,339,inactive
254,Product_254,Books,82.25,378,inactive
255,Product_255,Food,10.46,374,inactive
256,Product_256,Electronics,114.26,213,active
257,Product_257,Toys,243.23,125,active
258,Product_258,Health,237.46,194,inactive
259,Product_259,Food,186.24,247,inactive
260,Product_260,Clothing,82.06,349,inactive
261,Product_261,Electronics,268.24,13,inactive
262,Product_262,Toys,291.31,118,active
